date,symbol,open,high,low,close,Volume BTC,Volume USD
20/02/2018,BTC/USD,11173,11780,11080.37,11233.41,182156478,15880.91
19/02/2018,BTC/USD,10421.06,11262.48,10307.51,11173,127802568.1,11698.26
18/02/2018,BTC/USD,11101,11300,10153.15,10421.06,188724919.3,17623.08
17/02/2018,BTC/USD,10196,11135.83,10053.5,11101,155314935.2,14511.17
16/02/2018,BTC/USD,10018,10300,9707.51,10196,118860367.7,11857.64
15/02/2018,BTC/USD,9490.98,10234,9350,10018,206814744.9,21036.34
14/02/2018,BTC/USD,8522.99,9515,8504.57,9490.98,158839393.3,17468.74
13/02/2018,BTC/USD,8899,8951.89,8360.13,8522.99,97689771.64,11374.52
12/02/2018,BTC/USD,8067,8995,8067,8899,130557481.6,15071.04
11/02/2018,BTC/USD,8560,8560,7820,8067,103542540.6,12711.79
10/02/2018,BTC/USD,8693.98,9090.8,8170.86,8560,127082570.7,14670.56
09/02/2018,BTC/USD,8259.76,8779.62,7753.32,8693.98,152040059.9,18418.12
08/02/2018,BTC/USD,7588.01,8644.36,7565.5,8259.76,187157997.7,22746.39
07/02/2018,BTC/USD,7737.37,8649,7213.8,7588.01,260674865.8,32640.89
06/02/2018,BTC/USD,6874.27,8150,5920.72,7737.37,487504446,70961.37
05/02/2018,BTC/USD,8191,8335.56,6600,6874.27,342210634.7,46544.43
04/02/2018,BTC/USD,9225.86,9350.09,7825,8191,162005632.6,19110.67
03/02/2018,BTC/USD,8838.83,9491.2,8170.71,9225.86,144713399.5,16208.37
02/02/2018,BTC/USD,8998.99,9096.79,7625.25,8838.83,426760116.1,51005.6
01/02/2018,BTC/USD,10149,10187.56,8455,8998.99,243067799.6,26356.59
31/01/2018,BTC/USD,9971,10324,9514.96,10149,126723437.3,12743.51
30/01/2018,BTC/USD,11162.62,11222.36,9731.2,9971,219169216.4,21082.19
29/01/2018,BTC/USD,11685.58,11820.01,10991,11162.62,112806531.8,9996.36
28/01/2018,BTC/USD,11446.54,11989.15,11360.52,11685.58,116531522.5,9956.09
27/01/2018,BTC/USD,11092.95,11630.47,10815.84,11446.54,116376809.5,10309.81
26/01/2018,BTC/USD,11155.54,11635,10263.32,11092.95,164020352.5,15074.67
25/01/2018,BTC/USD,11400.96,11741.82,10868.57,11155.54,115421975,10212.92
24/01/2018,BTC/USD,10851.82,11500,10488.13,11400.96,128825119.7,11646.79
23/01/2018,BTC/USD,10808.99,11409.87,9927.54,10851.82,184369293.7,17250.18
22/01/2018,BTC/USD,11558.87,11910.78,10028.41,10808.99,186028930.6,17067.73
21/01/2018,BTC/USD,12775.99,12791.88,11100,11558.87,137150604.6,11596.44
20/01/2018,BTC/USD,11552,13052.12,11515.94,12775.99,128912075.5,10324.06
19/01/2018,BTC/USD,11247.57,12050.39,11025.18,11552,151834406.4,13203.26
18/01/2018,BTC/USD,11191.35,12146,10693,11247.57,256082650,22195.26
17/01/2018,BTC/USD,11386.34,11794.07,9222,11191.35,433168120.1,41356.19
16/01/2018,BTC/USD,13607.04,13607.04,10162,11386.34,457725763.4,38789.88
15/01/2018,BTC/USD,13647.99,14394.36,13429.25,13607.04,131049852.4,9444.64
14/01/2018,BTC/USD,14197.78,14365.81,13072.22,13647.99,102783826.7,7588.64
13/01/2018,BTC/USD,13781.41,14619.1,13781.41,14197.78,106595650.1,7488.99
12/01/2018,BTC/USD,13243.83,14152.19,12807.27,13781.41,183399343.5,13433.08
11/01/2018,BTC/USD,14890.02,14973.07,12800,13243.83,266846190.8,19630.08
10/01/2018,BTC/USD,14403.51,14900,13412,14890.02,261210687,18479.01
09/01/2018,BTC/USD,14999.99,15367.18,14123.97,14403.51,204579121.6,13913.52
08/01/2018,BTC/USD,16124.02,16300,13900,14999.99,251991683.9,16684.13
07/01/2018,BTC/USD,17149.67,17149.97,15707.16,16124.02,141555094.2,8632.81
06/01/2018,BTC/USD,16928,17234.99,16220,17149.67,158389594.5,9501.02
05/01/2018,BTC/USD,15143.67,17200,14810,16928,259695892.9,16248.91
04/01/2018,BTC/USD,15155.62,15430.27,14192.37,15143.67,222160244.5,15004.02
03/01/2018,BTC/USD,14678.94,15500,14546.28,15155.62,183639413.7,12275
02/01/2018,BTC/USD,13443.41,15257.53,12910.58,14678.94,229138844.1,16299.67
01/01/2018,BTC/USD,13880,13941.75,12801.38,13443.41,102815718.5,7688.03
31/12/2017,BTC/USD,12640,14296.06,12491.21,13880,154552644.5,11583.42
30/12/2017,BTC/USD,14340,14463.28,12050,12640,285985550.3,21749.67
29/12/2017,BTC/USD,14470.07,15111,13998,14340,195727638.8,13505.7
28/12/2017,BTC/USD,15364.93,15474.19,13500,14470.07,234428578.5,16557.22
27/12/2017,BTC/USD,15764.44,16480.52,14484,15364.93,241860985.1,15643.75
26/12/2017,BTC/USD,13911.28,16147.87,13746.95,15764.44,230922569.2,15051.16
25/12/2017,BTC/USD,14157.87,14650,13210,13911.28,161347357.1,11564.54
24/12/2017,BTC/USD,14619,14619.1,12488,14157.87,250476423.6,18519.49
23/12/2017,BTC/USD,14009.79,15756.22,13496.48,14619,322120599.6,21786.41
22/12/2017,BTC/USD,15600.01,15795.61,11159.93,14009.79,772329454.8,57444.16
21/12/2017,BTC/USD,16466.98,17281.17,15005,15600.01,326730689.7,20377.86
20/12/2017,BTC/USD,17700,17950,15343.04,16466.98,521350550.6,31172.23
19/12/2017,BTC/USD,18940.57,19160.79,16831.26,17700,387206242.4,21528.14
18/12/2017,BTC/USD,18953,19220,17835.2,18940.57,273533539.4,14678.94
17/12/2017,BTC/USD,19187.78,19666,18465,18953,186310530.8,9749.25
16/12/2017,BTC/USD,17471.5,19377,17269.99,19187.78,179906034.6,9761.22
15/12/2017,BTC/USD,16404.99,17934,16337.19,17471.5,329337014.8,18998.39
14/12/2017,BTC/USD,16250,16830.45,15852.69,16404.99,219263192.5,13409.52
13/12/2017,BTC/USD,16650.01,17107.03,15497.69,16250,281640493.8,17136.71
12/12/2017,BTC/USD,16470,17428.42,15967.29,16650.01,210743301.6,12511.23
11/12/2017,BTC/USD,14691,17270,14677.19,16470,270203844.3,16583.72
10/12/2017,BTC/USD,14607.49,15385,13011,14691,263150668,18487.98
09/12/2017,BTC/USD,15800,15998.5,12701.05,14607.49,227938370.1,15763.56
08/12/2017,BTC/USD,16599.99,16666.66,13482.42,15800,389366035.1,25473.4
07/12/2017,BTC/USD,13623.5,16615.62,13085.9,16599.99,362107737.1,24423.39
06/12/2017,BTC/USD,11677,13700,11659.8,13623.5,250560790.3,19784.87
05/12/2017,BTC/USD,11613.07,11850,11384.25,11677,127101844.1,10910.99
04/12/2017,BTC/USD,11250,11613.07,10850,11613.07,154122917.9,13621.48
03/12/2017,BTC/USD,10872,11800.01,10513.16,11250,160176290.4,14238.53
02/12/2017,BTC/USD,10840.45,11200,10637.69,10872,101270084.4,9267.16
01/12/2017,BTC/USD,9947.67,10949.89,9370.11,10840.45,171881760.6,16708.03
30/11/2017,BTC/USD,9824.68,10618.29,9000,9947.67,247093850.8,25433.46
29/11/2017,BTC/USD,9868.82,11395,9289,9824.68,307124764.7,29509.5
28/11/2017,BTC/USD,9708.07,9968,9582.25,9868.82,110496755.9,11214.93
27/11/2017,BTC/USD,9271.06,9721.7,9267,9708.07,126458117.7,13272.45
26/11/2017,BTC/USD,8717.99,9366.6,8538.2,9271.06,108525815.5,12021.22
25/11/2017,BTC/USD,8199.19,8737,8114.78,8717.99,97628924.79,11611.67
24/11/2017,BTC/USD,7989,8340,7876,8199.19,75751868.75,9289.99
23/11/2017,BTC/USD,8214.69,8279.76,7980,7989,63644740.39,7811.79
22/11/2017,BTC/USD,8095.23,8310.89,8045.76,8214.69,66215711.71,8078.58
21/11/2017,BTC/USD,8226.17,8354.46,7770,8095.23,110809826.4,13686.34
20/11/2017,BTC/USD,8016.58,8269.99,7900,8226.17,66366007.81,8179.46
19/11/2017,BTC/USD,7771.03,8087.35,7675,8016.58,65332064.65,8307.78
18/11/2017,BTC/USD,7674.99,7858,7431.54,7771.03,56264967.21,7326.81
